"","tconst","m1","m2","m3","m4"
"287","tt0023590","it's a wonderful life","back to the future","ferris bueller's day off","the princess bride"
"288","tt0023622","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"289","tt0023634","late spring","seven samurai","wild strawberries","the good, the bad and the ugly"
"290","tt0023649","metropolis","seven samurai","psycho","2001: a space odyssey"
"291","tt0023686","the philadelphia story","pinocchio","dr. strangelove or: how i learned to stop worrying and love the bomb","faster, pussycat! kill! kill!"
"292","tt0023694","rear window","2001: a space odyssey","night of the living dead","the evil dead"
"293","tt0023753","alice in wonderland","willy wonka & the chocolate factory","finding nemo","the dark knight"
"294","tt0023775","casablanca","rear window","north by northwest","psycho"
"295","tt0023786","snow white and the seven dwarfs","the philadelphia story","pinocchio","blade runner"
"296","tt0023814","double indemnity","the third man","all about eve","rear window"
"297","tt0023825","pinocchio","belle de jour","the wild bunch","blade runner"
"298","tt0023871","the courtyard of the ballads","the sound of music","indiana jones and the temple of doom","back to the future"
"299","tt0023876","grand hotel","it happened one night","rebecca","casablanca"
"300","tt0023911","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","the umbrellas of cherbourg","the wild bunch"
"301","tt0023940","it happened one night","casablanca","double indemnity","rear window"
"302","tt0023943","some like it hot","the apartment","back to the future","the goonies"
"303","tt0023948","the philadelphia story","casablanca","north by northwest","some like it hot"
"304","tt0023956","the good, the bad and the ugly","the graduate","once upon a time in the west","donnie darko"
"305","tt0023960","the philadelphia story","singin' in the rain","funny face","vertigo"
"306","tt0023969","the wizard of oz","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"307","tt0024008","the philadelphia story","singin' in the rain","funny face","vertigo"
"308","tt0024025","bringing up baby","adam's rib","rear window","north by northwest"
"309","tt0024028","singin' in the rain","rear window","some like it hot","psycho"
"310","tt0024034","the wizard of oz","casablanca","singin' in the rain","rear window"
"311","tt0024069","bringing up baby","all about eve","singin' in the rain","north by northwest"
"312","tt0024083","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"313","tt0024115","man with a movie camera","the seventh seal","fanny and alexander","mary and max"
"314","tt0024144","the women","the maltese falcon","all about eve","sunset boulevard"
"315","tt0024166","the awful truth","the maltese falcon","all about eve","cinema paradiso"
"316","tt0024184","casablanca","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"317","tt0024188","m","seven samurai","psycho","2001: a space odyssey"
"318","tt0024216","the wizard of oz","casablanca","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"319","tt0024238","of human bondage","the wizard of oz","all about eve","rear window"
"320","tt0024240","citizen kane","the maltese falcon","12 angry men","the world of apu"
"321","tt0024262","it's a wonderful life","back to the future","brazil","the princess bride"
"322","tt0024264","gone with the wind","the wizard of oz","casablanca","the sound of music"
"323","tt0024307","the philadelphia story","singin' in the rain","funny face","vertigo"
"324","tt0024353","the blob","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange","children of the corn"
"325","tt0024368","all about eve","rear window","seven samurai","psycho"
"326","tt0024402","m","yojimbo","once upon a time in the west","the french connection"
"327","tt0024473","gone with the wind","citizen kane","casablanca","sunset boulevard"
"328","tt0024481","the philadelphia story","casablanca","rear window","psycho"
"329","tt0024484","the philadelphia story","singin' in the rain","funny face","vertigo"
"330","tt0024516","santa fe trail","for a few dollars more","django","butch cassidy and the sundance kid"
"331","tt0024548","i'm no angel","snow white and the seven dwarfs","the princess bride","harry potter and the deathly hallows: part 1"
