"","tconst","m1","m2","m3","m4"
"332","tt0024593","fantasia","forbidden planet","a nightmare on elm street","evil dead ii"
"333","tt0024601","city lights","sunset boulevard","12 angry men","psycho"
"334","tt0024617","the philadelphia story","pinocchio","dr. strangelove or: how i learned to stop worrying and love the bomb","faster, pussycat! kill! kill!"
"335","tt0024645","king kong","the african queen","20,000 leagues under the sea","planet of the apes"
"336","tt0024763","the thin man","the wizard of oz","the maltese falcon","casablanca"
"337","tt0024805","the maltese falcon","dr. strangelove or: how i learned to stop worrying and love the bomb","the wild bunch","batman"
"338","tt0024831","rain man","pirates of the caribbean: the curse of the black pearl","the notebook","pirates of the caribbean: dead man's chest"
"339","tt0024844","citizen kane","seven samurai","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"340","tt0024852","the wizard of oz","casablanca","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"341","tt0024865","the women","the maltese falcon","all about eve","sunset boulevard"
"342","tt0024894","rear window","12 angry men","psycho","a clockwork orange"
"343","tt0024914","heidi","gone with the wind","the little princess","singin' in the rain"
"344","tt0024966","the good, the bad and the ugly","fitzcarraldo","the right stuff","down by law"
"345","tt0024991","gone with the wind","the philadelphia story","it's a wonderful life","pillow talk"
"346","tt0025004","the princess bride","the departed","v for vendetta","the dark knight"
"347","tt0025037","the league of extraordinary gentlemen","captain america: the first avenger","the avengers","the hobbit: the desolation of smaug"
"348","tt0025046","the philadelphia story","singin' in the rain","funny face","vertigo"
"349","tt0025068","the philadelphia story","singin' in the rain","funny face","vertigo"
"350","tt0025124","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"351","tt0025164","top hat","the wizard of oz","casablanca","singin' in the rain"
"352","tt0025272","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"353","tt0025301","the grapes of wrath","laura","the heiress","all about eve"
"354","tt0025316","citizen kane","casablanca","rear window","north by northwest"
"355","tt0025318","duck soup","citizen kane","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"356","tt0025335","citizen kane","psycho","lawrence of arabia","full metal jacket"
"357","tt0025351","singin' in the rain","rear window","vertigo","the wild bunch"
"358","tt0025410","gone with the wind","the wizard of oz","the philadelphia story","the sound of music"
"359","tt0025440","santa fe trail","for a few dollars more","django","butch cassidy and the sundance kid"
"360","tt0025452","casablanca","rear window","vertigo","north by northwest"
"361","tt0025455","santa fe trail","for a few dollars more","django","butch cassidy and the sundance kid"
"362","tt0025456","citizen kane","casablanca","north by northwest","blade runner"
"363","tt0025464","the thin man","the wizard of oz","casablanca","the princess bride"
"364","tt0025493","snow white and the seven dwarfs","pinocchio","pather panchali","blade runner"
"365","tt0025509","casablanca","rashomon","seven samurai","lawrence of arabia"
"366","tt0025586","the wizard of oz","citizen kane","casablanca","rear window"
"367","tt0025590","the philadelphia story","an american in paris","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"368","tt0025610","the grapes of wrath","laura","seven samurai","12 angry men"
"369","tt0025731","the thin man","my man godfrey","my fair lady","evil dead ii"
"370","tt0025746","citizen kane","sunset boulevard","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"371","tt0025748","the big sleep","12 angry men","star wars: episode vi - return of the jedi","a beautiful mind"
"372","tt0025791","dr. strangelove or: how i learned to stop worrying and love the bomb","the umbrellas of cherbourg","belle de jour","the wild bunch"
"373","tt0025799","the wizard of oz","the philadelphia story","citizen kane","north by northwest"
"374","tt0025862","casablanca","it's a wonderful life","rio bravo","the dark knight"
"375","tt0025878","the maltese falcon","casablanca","rear window","north by northwest"
"376","tt0025898","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"377","tt0025907","gone with the wind","inglourious basterds","the dark knight","star trek"
"378","tt0025913","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"379","tt0025919","citizen kane","casablanca","rear window","north by northwest"
"380","tt0025929","the general","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"381","tt0026007","the women","the maltese falcon","all about eve","sunset boulevard"
"382","tt0026017","the philadelphia story","an american in paris","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"383","tt0026029","citizen kane","casablanca","rear window","north by northwest"
"384","tt0026056","the philadelphia story","the maltese falcon","casablanca","all about eve"
"385","tt0026071","casablanca","it's a wonderful life","rear window","north by northwest"
"386","tt0026097","all about eve","rear window","vertigo","breakfast at tiffany's"
"387","tt0026121","the wizard of oz","a streetcar named desire","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"388","tt0026129","of human bondage","the wizard of oz","all about eve","rear window"
"389","tt0026132","north by northwest","the good, the bad and the ugly","a clockwork orange","withnail & i"
"390","tt0026138","citizen kane","casablanca","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"391","tt0026164","santa fe trail","for a few dollars more","django","butch cassidy and the sundance kid"
"392","tt0026174","the adventures of robin hood","casablanca","rear window","north by northwest"
"393","tt0026199","the philadelphia story","an american in paris","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb"
"394","tt0026252","gone with the wind","the wizard of oz","my fair lady","willy wonka & the chocolate factory"
"395","tt0026266","sunset boulevard","swiss family robinson","the parent trap","the sound of music"
"396","tt0026267","the good, the bad and the ugly","yellow submarine","pink floyd: the wall","the secret of nimh"
"397","tt0026276","casablanca","sunset boulevard","rear window","the wild bunch"
"398","tt0026393","the good, the bad and the ugly","bonnie and clyde","once upon a time in the west","a clockwork orange"
"399","tt0026421","the philadelphia story","the african queen","rear window","the grand budapest hotel"
"400","tt0026424","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"401","tt0026465","the little princess","the philadelphia story","sabrina","the apartment"
"402","tt0026519","it happened one night","snow white and the seven dwarfs","pinocchio","batman"
"403","tt0026529","casablanca","double indemnity","sunset boulevard","psycho"
"404","tt0026564","rear window","vertigo","north by northwest","the wild bunch"
"405","tt0026641","snow white and the seven dwarfs","gone with the wind","the wizard of oz","the philadelphia story"
"406","tt0026643","bringing up baby","his girl friday","the philadelphia story","seven samurai"
"407","tt0026656","gone with the wind","the maltese falcon","penny serenade","alice in wonderland"
"408","tt0026663","casablanca","north by northwest","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"409","tt0026676","horse feathers","duck soup","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb"
"410","tt0026683","to kill a mockingbird","star wars: episode vi - return of the jedi","y tu mamá también","the bourne identity"
"411","tt0026714","casablanca","north by northwest","brazil","finding nemo"
"412","tt0026725","kill bill: vol. 1","inglourious basterds","kill bill: vol. 2","v for vendetta"
"413","tt0026752","the wizard of oz","casablanca","the bridge on the river kwai","lawrence of arabia"
"414","tt0026762","citizen kane","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"415","tt0026778","duck soup","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb"
"416","tt0026912","rear window","12 angry men","house on haunted hill","the karate kid"
"417","tt0026942","casablanca","singin' in the rain","north by northwest","some like it hot"
"418","tt0026955","citizen kane","casablanca","it's a wonderful life","seven samurai"
"419","tt0026983","the aristocats","the princess bride","finding nemo","ponyo"
"420","tt0027042","citizen kane","the world of apu","the apartment","dr. strangelove or: how i learned to stop worrying and love the bomb"
"421","tt0027062","casablanca","north by northwest","to kill a mockingbird","the great escape"
"422","tt0027067","purple noon","the umbrellas of cherbourg","the wild bunch","blade runner"
"423","tt0027075","the wizard of oz","casablanca","north by northwest","to kill a mockingbird"
"424","tt0027076","sunset boulevard","rear window","vertigo","the wild bunch"
"425","tt0027125","the wizard of oz","casablanca","singin' in the rain","rear window"
"426","tt0027221","singin' in the rain","rear window","vertigo","the wild bunch"
"427","tt0027255","the good, the bad and the ugly","hang 'em high","butch cassidy and the sundance kid","once upon a time in the west"
"428","tt0027260","the thin man","casablanca","rear window","north by northwest"
"429","tt0027286","his girl friday","rear window","north by northwest","some like it hot"
"430","tt0027300","an american in paris","rear window","breakfast at tiffany's","belle de jour"
