,nconst,primaryName
767,nm0000935,Bibi Besch
768,nm0000936,Martine Beswick
769,nm0000937,Richard Beymer
770,nm0000938,Daniela Bianchi
771,nm0000940,Bigas Luna
772,nm0000941,Kathryn Bigelow
773,nm0000942,Theodore Bikel
774,nm0000945,Jane Birkin
775,nm0000946,Whit Bissell
776,nm0000947,Karen Black
777,nm0000948,Shane Black
778,nm0000949,Cate Blanchett
779,nm0000950,Brenda Blethyn
780,nm0000951,Joan Blondell
781,nm0000952,Hart Bochner
782,nm0000953,Peter Bogdanovich
783,nm0000954,Jon Bon Jovi
784,nm0000955,Ward Bond
785,nm0000957,Jan de Bont
786,nm0000958,John Boorman
787,nm0000959,Powers Boothe
788,nm0000960,Barry Bostwick
789,nm0000961,Timothy Bottoms
790,nm0000962,Carole Bouquet
791,nm0000963,Stephen Boyd
792,nm0000964,Charles Boyer
793,nm0000965,Danny Boyle
794,nm0000967,Eric Braeden
795,nm0000968,Sônia Braga
796,nm0000969,Lillo Brancato
797,nm0000971,Nicoletta Braschi
798,nm0000972,Tinto Brass
799,nm0000973,Benjamin Bratt
800,nm0000974,Walter Brennan
801,nm0000975,Robert Bresson
802,nm0000976,Martin Brest
803,nm0000977,Beau Bridges
804,nm0000978,Lloyd Bridges
805,nm0000979,Wilford Brimley
806,nm0000980,Jim Broadbent
807,nm0000981,James Brolin
808,nm0000982,Josh Brolin
809,nm0000983,Albert Brooks
810,nm0000985,James L. Brooks
811,nm0000986,Bryan Brown
812,nm0000987,Jim Brown
813,nm0000989,Yul Brynner
814,nm0000990,Betty Buckley
815,nm0000991,Geneviève Bujold
816,nm0000992,Billie Burke
817,nm0000993,Carol Burnett
818,nm0000994,Raymond Burr
819,nm0000995,Ellen Burstyn
820,nm0000996,LeVar Burton
821,nm0000997,Gary Busey
822,nm0000998,Jake Busey
823,nm0000999,Red Buttons
824,nm0001001,James Caan
825,nm0001002,Dean Cain
826,nm0001003,Simon Callow
827,nm0001005,Jane Campion
828,nm0001006,John Candy
829,nm0001007,Dyan Cannon
830,nm0001008,Frank Capra
831,nm0001009,Kate Capshaw
832,nm0001010,Capucine
833,nm0001011,Irene Cara
834,nm0001012,Claudia Cardinale
835,nm0001013,Harry Carey Jr.
836,nm0001015,Robert Carlyle
837,nm0001016,David Carradine
838,nm0001017,John Carradine
839,nm0001018,Keith Carradine
840,nm0001019,Robert Carradine
841,nm0001021,Veronica Cartwright
842,nm0001023,John Cassavetes
843,nm0001024,Nick Cassavetes
844,nm0001025,Seymour Cassel
845,nm0001026,Joanna Cassidy
